external_id,title,text,topic,topic_score
896b18c1-0ea7-4720-8792-b19eb5cba223,Brandkatastrophe in der Schweiz: MHH nimmt Opfer auf,"Nach dem Brand in einer Bar in der Schweiz geht die Polizei von 40 Toten und mehr als 100 Verletzten aus. Ein Opfer ist nach Hannover gebracht worden.

Nach Informationen des NDR Niedersachsen hat die Medizinische Hochschule Hannover (MHH) nach dem verheerenden Feuer in dem Schweizer Skiort Crans-Montana einen Patienten zur Behandlung aufgenommen. Zuerst hatte die ""Hannoversche Allgemeine Zeitung"" berichtet. Der Zeitung liegen demnach Informationen vor, dass es sich bei dem Opfer um eine ""Frau mit schwersten Brandverletzungen"" handelt. Eine Sprecherin der MHH erklärte, dass die Klinik für Patienten mit Brandverletzungen ausgestattet sei und für die Aufnahme solcher Fälle bereitstehe. ""Im konkreten Fall nehmen wir Patientinnen und Patienten auf"", sagte die Sprecherin am Samstag. Allerdings mache die MHH bei weniger als fünf Personen keine personenbezogenen Angaben.

Schwerverletzte per ""Kleeblattmechanismus"" an Kliniken verteilt

Das Bundesamt für Bevölkerungsschutz und Katastrophenhilfe hatte am Freitag mitgeteilt, dass Deutschland nach dem Brand in der Schweiz schwerverletzte Patientinnen und Patienten aufnimmt. Sie werden den Angaben zufolge nach dem sogenannten Kleeblattmechanis",Infrastruktur,0.40686196
2b6c8093-8b95-4763-a4e5-655ecd060c41,Ex-Partnerin aus Rache ermordet? Angeklagter schweigt,"In Verden hat die Hauptverhandlung gegen einen Mann begonnen, der seine Ex-Partnerin auf einem Supermarktparkplatz in Nienburg erstochen haben soll. Die Staatsanwaltschaft wirft dem 34-Jährigen Mord vor.

Der Angeklagte schwieg am Mittwoch vor Gericht. Er soll seiner früheren Freundin nach der Trennung mit dem Tod gedroht haben. Die Staatsanwaltschaft ist überzeugt, dass er seine Pläne in die Tat umsetzte. Da sich die Frau weigerte, zu ihm zurückzukommen, habe er sie im Mai 2025 auf einem Supermarktparkplatz in Nienburg an der Weser abgepasst. Die fünffache Mutter versuchte den Angaben zufolge zu fliehen, aber der Mann holte sie ein und griff sie an. Mehrere Messerstichen sollen sie tödlich in Oberkörper und Kopf getroffen haben - vor den Augen ihres Sohnes und ihrer zehnjährigen Tochter. Der heute 19 Jahre alte Sohn versuchte laut Anklage, den Angreifer zu stoppen, jedoch ohne Erfolg. Zuvor hieß es offenbar fälschlicherweise in einer schriftlichen Mitteilung des Landgerichts Verden, der Bruder habe versucht, den Angreifer aufzuhalten.

Zuvor Zweifel an Schuldfähigkeit des Mannes

Vor dem nun gestarteten Strafprozess hatte ein psychiatrischer Sachverständiger in seinem Zwischenguta",Innere_Sicherheit,0.4384688
ea58a5c5-b65c-4241-944a-e4f97063235a,"""Haus Demmin"": Stadt steckt 180.000 Euro in die Sanierung","An dem Herrenhaus aus dem 19. Jahrhundert sollen unter anderem Mauern und das Dach repariert werden.

Das ""Haus Demmin"" (Landkreis Mecklenburgische Seenplatte) soll gegen weiteren Verfall gesichert werden. Die Stadt will für etwa 180.000 Euro Mauern reparieren, mit Blechabdeckungen das Eindringen von Wasser verhindern, herausgebrochene Ziegel ersetzen und Stützbalken erneuern. Das marode Herrenhaus aus dem 19. Jahrhundert steht auf einer Insel an der Mündung der Tollense in die Peene. Dazu gehören auch Reste einer mittelalterlichen Burgruine, die als ältestes Gebäude Pommerns gilt.",Infrastruktur,0.4093306
354617aa-34c8-42d2-b581-b1cc8238e889,A7 bleibt Stauschwerpunkt: So lange standen Autofahrer in SH im Stau,"Im vergangenen Jahr hat sich die Zeit, die Menschen in Schleswig-Holstein im Stau standen, laut ADAC-Staubilanz verdoppelt. Besonders betroffen war die A7. Eine Entspannung ist nicht in Sicht.

Im nördlichsten Bundesland standen Autofahrer 2025 insgesamt etwa 13.800 Stunden und damit 576 Tage im Stau. Umgerechnet herrschte für zusammengerechnet 1,6 Jahre Stillstand auf den Autobahnen - das sind 50 Prozent mehr als im Jahr zuvor. Der ADAC zählt in seiner aktuellen Staubilanz im vergangenen Jahr 11.196 Staus in Schleswig-Holstein mit einer Gesamtlänge von rund 20.700 Kilometern - das entspricht einer halben Runde um die Erde.

Die A7 bleibt Stau-Schwerpunkt

Besonders betroffen war die A7 zwischen Flensburg und Hamburg mit den längsten und zeitintensivsten Staus. Den längsten Stau gab es an einem Sonnabend im Oktober zwischen dem Dreieck Bordesholm und dem Grenzübergang Ellund: 37 Kilometer mussten sich Reisende damals über die Autobahn quälen.

Der längste Stau nach Dauer wurde ebenfalls auf der A7 Richtung Hamburg zwischen Warder und Großenaspe registriert: Knapp 16 Stunden staute es sich auf der Autobahn.

Weitere staureiche Autobahnen waren die A1 zwischen Heiligenhafen, Lübeck u",Infrastruktur,0.4232489
ba64d811-ed4e-45fa-aac4-a12a0aaaea59,Kommt die Wende beim Wohnungsbau?,"In Deutschland fehlen bezahlbare Wohnungen - vor allem für jüngere und ältere Menschen. Nun gibt es erste Hoffnungsschimmer: mehr Baugenehmigungen. Bringt das die Wende?

Von Hans-Joachim Vieweger, ARD-Hauptstadtstudio

Seit Jahren schrumpft der Wohnungsbau. 400.000 neue Wohnungen pro Jahr hatte sich die frühere Ampel-Regierung vorgenommen. Fertiggestellt wurden von Jahr zu Jahr aber immer weniger: 2024 waren es noch rund 250.000 neue Wohnungen, 2025 könnte die Zahl Branchenbeobachtern zufolge auf 210.000 bis 230.000 gefallen sein. Angesichts der Zuwanderung zum Beispiel aus der Ukraine haben sich die Probleme auf dem Wohnungsmarkt damit verschärft.

Ifo-Experte sieht ""Silberstreif am Horizont""

Doch es gibt positive Signale: So steigt die Zahl der Baugenehmigungen seit Mitte 2025 wieder an. Und zuletzt meldete die Baubranche einen höheren Auftragseingang gerade auch aus dem sogenannten Hochbau, zu dem der Wohnungsbau gehört. Branchenkenner Klaus Wohlrabe vom Münchner ifo-Institut spricht denn auch von einem ""Silberstreif am Horizont"" - die Talsohle im Wohnungsbau dürfte durchschritten sein.

Allerdings zeigen die Umfragen des ifo-Instituts bei Unternehmen auch, dass weiterhin stru",Politik,0.41825348
tagesschau_fm-story-id-openmediatest/radiobremen.de/openmedia/2_1698042-nimex,"Aktienkurs explodiert: Wie könnte OHB vom ""Mini-Starlink"" profitieren?","Das Ausmaß des neuen Bundeswehr-Satellitensystems ""SatcomBw"" ist gewaltig. Bremens Raumfahrtkonzern OHB könnte es einen Umsatzsprung bescheren. Das steckt dahinter.

Von Kristian Klooß

Der deutsche Rüstungskonzern Rheinmetall will sich mit Bremens Satellitenbauer OHB um das bislang größte Weltraumprojekt der Bundeswehr bewerben. Bereits im Februar könnte die Ausschreibung erfolgen, schreibt das ""Handelsblatt"", das zuerst über die Pläne berichtete.

Worum es genau geht und was ""SatcomBw"" für Bremens wohl wichtigstes Weltraumunternehmen bedeuten könnte und warum sich der Aktienkurs der OHB SE innerhalb einer Woche fast verdoppelt hat, fassen wir hier zusammen.

Was steckt hinter ""SatcomBw""?

Die Bundeswehr setzt seit zwei Jahrzehnten auf eine eigene Satellitenkommunikation. Sie betreibt dazu das System ""SatcomBw"". Es besteht derzeit aus zwei Satelliten und mehreren Hundert festen und mobilen Empfangsstationen. Dies sichert den Truppen einen selbstständig einsetzbaren und abhörsicheren Kommunikations- und Informationsdienst.Die sogenannte vierte Stufe von ""SatcomBw"" wird nun offenbar mit anderer Technik umgesetzt. Dem Handelsblatt zufolge könnten künftig mindestens 100 kleinere Satel",Infrastruktur,0.3995059
tagesschau_fm-story-rbb_berlinale-2026-jury-76-filmfestspiele-berlin,Berlinale gibt Jurys bekannt,"Die Berlinale hat am Mittwoch ihre Jury-Besetzungen für die 76. Internationalen Filmfestspiele bekannt gegeben.Die Internationale Jury entscheidet über die Vergabe der Goldenen und Silbernen Bären unter den 22 Filmen, die im Wettbewerb laufen. Ihr gehören neben dem Jury-Vorsitzenden Wim Wenders sechs weitere Filmschaffende an. Dazu gehören der US-Regisseur Reinaldo Marcus Green, die japanische Filmemacherin Hikari und die polnische Produzentin Ewa Puszczyńska. Außerdem in der Jury: die südkoreanische Schauspielerin Bae Doona, der indische Regisseur, Produzent und Archivar Shivendra Singh Dungarpur sowie der Filmemacher Min Bahadur Bham aus Nepal.Die Preisverleihung findet bei einer glanzvollen Gala am 21. Februar im Berlinale-Palast am Potsdamer Platz statt.

Weitere Jurys für Dokumentarfilme, Kurzfilme und Spielfilmdebüt

Den Preis für das beste Spielfilmdebüt wird eine dreiköpfige Jury, bestehend aus Frédéric Hambalek, Sofia Alaoui (Marrokko) und der polnisch-kanadischen Festivaldirektorin Dorota Lech vergeben. Über die besten Kurzfilme der ""Berlinale Shorts"" werden der syrische Filmemacher Ameer Fakher Eldin, der österreichische Kulturjournalist Stefan Grissemann sowie die Künst",Kultur,0.45137435
tagesschau_fm-story-id-b1e399cc-67f2-4535-bbfb-3c6da5e24ba3,Das ist der Fragebogen für den Extremismus-Check des Landtags,"Haben Sie gegen die Verfassung agitiert? Der Landtag in Wiesbaden hat hunderte Mitarbeiter von Abgeordneten und Fraktionen um Selbstauskunft gebeten. Damit sich am Ende keiner rausreden kann, erhielten die Befragten zum kurzen Fragebogen lange Listen des Verfassungsschutzes.

Von Wolfgang Türk

""Sind Sie Extremist? Ja/nein/weiß nicht"" – ganz so einfach ist die Sache nicht, wenn ein Landtag unter den Mitarbeitern von Fraktionen und Abgeordneten nach Verfassungsfeinden sucht. Sehr viel komplizierter muss es aber auch nicht sein. Das ist dem Fragebogen zu entnehmen, den die Verwaltung von Parlamentspräsidentin Astrid Wallmann (CDU) gerade zum Auftakt eines Extremismus-Checks verschickt hat.

17 Seiten lang ist das Schreiben, das dem hr vorliegt, zwar mit Anhang. Im Mittelpunkt steht aber ein einziges Blatt für eine Selbstauskunft im Multiple-Choice-Verfahren. Befragte könnten die in bestem Amtsdeutsch verfasste Aussage ankreuzen: ""Mir sind Umstände bekannt, welche geeignet sind, in Bezug auf meine Person Anhaltspunkte für eine verfassungsfeindliche Betätigung (…) zu begründen.""

Wer wahrheitswidrig angibt, ihm sei über eigene Aktivität gegen die Demokratie nichts bekannt, soll sich sp",Politik,0.5245512
tagesschau_fm-story-rekord_foerderkredite_sikb_saarland_wohnungsbau_100,Rekord an Förderkrediten im Saarland,"Die Saarländische Investitions- und Kreditbank (SIKB) hat im vergangenen Jahr 432 Millionen Euro an Förderkrediten bewilligt – ein Rekordwert. Im Vergleich zum Vorjahr ist das ein Zuwachs von knapp 28 Prozent. Die Kreditvergabe stieg vor allem im Bereich sozialer Wohnungsbau.

Von Peter Sauer

65 Millionen Euro an Förderkrediten hat die SIKB im vergangenen Jahr zum Bau von bezahlbarem Wohnraum ausgegeben. Nach Jahren des Stillstands komme in den staatlichen Mietwohnungsbau Schwung, sagte die SIKB-Vorstandsvorsitzende Doris Woll dem SR. Das liege an einer Vereinfachung der Verfahren und an attraktiven Konditionen, die den sozialen Wohnungsbau für Privatinvestoren interessant machten.

Aktuell befinden sich nach Angaben von Woll weitere 130 Millionen Euro an Bau-Förderkrediten in der Bewilligungsphase. Damit sollen rund 2000 Wohneinheiten gebaut werden.

207 Millionen Euro Kredite für mittelständische Unternehmen

Neben dem Bereich Bauen und Wohnen finanziert die Förderbank auch den saarländischen Mittelstand. Hier seien im vergangenen Jahr rund 207 Millionen Euro an Krediten zur Verfügung gestellt worden.

Ebenfalls im Fokus der SIKB steht der Bereich Unternehmensneugründungen und S",Vermischtes,0.33689088
06519a2a-ba58-4610-8792-65b54b048a04,Axt-Angreifer von Hannover muss wegen Vergewaltigung in Haft,"Vor dem Landgericht Hannover ist am Dienstag ein 34-Jähriger unter anderem wegen schwerer Vergewaltigung und Brandstiftung zu zwölf Jahren Haft verurteilt worden. In dem Prozess ging es unter anderem um mehrere Vergewaltigungen und das Drohen mit einer Axt an einer Tankstelle.

Der Angeklagte nahm das Urteil reglos entgegen. Die Opfer waren nicht anwesend. Sie wurden durch eine Anwältin vertreten. Seit November musste sich der Angeklagte vor Gericht verantworten. Bereits im Dezember hatte der 34-Jährige über seinen Anwalt ein Geständnis ablegen lassen. Er gab zu, im Juni vergangenen Jahres zweimal seine Ex-Freundin und einmal ihre Großmutter vergewaltigt zu haben. Außerdem gestand er, das Auto seiner Ex-Freundin gestohlen und an einer Tankstelle in Hannover angezündet zu haben. An der Tankstelle entstand laut Gericht ein Schaden von 200.000 Euro. Dort hatte der Mann außerdem Einsatzkräfte der Polizei und Feuerwehr mit einer Axt bedroht.

Gefängnis statt Psychiatrie: Angeklagter nicht schuldunfähig

Die Schuldfähigkeit des Angeklagten zum Zeitpunkt der Taten war während des Prozesses lange unklar. Das Gericht kam zu dem Schluss, dass der Ex-Soldat zumindest bei der Vergewaltigung se",Innere_Sicherheit,0.3897282
tagesschau_fm-story-swr-be219b2c-99a8-3ed6-926b-0fbbb77a6f7d,"Mieten nur mit ""deutschem"" Namen? Gericht untersagt Diskriminierung","Mit ihrem pakistanischen Namen bekam eine wohnungssuchende Frau keinen Besichtigungstermin, unter einem ""deutschen"" aber schon. Dagegen hat sie geklagt - und Recht bekommen.

Von Stefan Eich

Auch Makler dürfen Wohnungssuchende nicht diskriminieren. Das hat der Bundesgerichtshof in Karlsruhe entschieden. Geklagt hatte Humaira Waseem. Der Makler hatte sie ihrer Ansicht nach nur wegen ihres pakistansischen Namens nicht zu einem Besichtigungstermin für eine Mietwohnung eingeladen. Als sie sich mit dem  Namen ""Schneider"" nochmal bewarb, bekam sie einen Termin. Solche Diskriminierungen gebe es oft, erklärt der Vorsitzende des Miterbundes Baden-Württemberg, Rolf Fischer, im SWR-Aktuell-Interview.

SWR Aktuell: Frau Waseem bekommt keinen Besichtigungstermin, Frau ""Schneider"" dagegen sofort. Wie verbreitet ist denn dieses Phänomen aus Ihrer Sicht?

Rolf Gaßmann: Es ist offensichtlich sehr verbreitet. Es gibt eine Untersuchung der Integrationsstelle beim Bund, und die hatte festgestellt, dass circa 41 Prozent der befragten Vermieter sagen, sie hätten Bedenken, an einen Einwanderer eine Wohnung zu vermieten. Das heißt also: Dass Menschen mit fremdländischen Namen Schwierigkeiten am Wohnungsm",Politik,0.38469672
tagesschau_fm-story-id-42681263-6045-4dd6-a3a2-44a5a75597ff,Nach Rückzieher von Bebra: Idstein will Hessentag 2027 ausrichten,"Wo wird 2027 der Hessentag gefeiert? Das osthessische Bebra hatte aus finanziellen Gründen einen Rückzieher gemacht. Jetzt hat Idstein seinen Hut in den Ring geworfen - wenn auch mit Bauchschmerzen.

Die 26.000-Einwohnerstadt Idstein (Rheingau-Taunus) möchte im Jahr 2027 den Hessentag ausrichten. Das haben die Stadtverordneten am Donnerstagabend mit großer Mehrheit beschlossen.

Bürgermeister Christian Herfurth (CDU) will die Bewerbung noch an diesem Freitag beim Land einreichen. Es wäre eine Rückkehr im Jubiläumsjahr - 25 Jahre nach dem Idsteiner Hessentag von 2002, damals noch mit Stargästen wie den No Angels, Die Prinzen oder Michael Ballack.

Mehrheit stimmt trotz Sorgen mit Ja

Leicht machten sich die Parlamentarier die Entscheidung nicht. Quer durch alle Fraktionen gab es Bauchgrimmen und die bange Frage, ob sich die Stadt den Hessentag leisten und ihn in der Kürze der Zeit stemmen könne. Der Bund der Steuerzahler meldete bereits Bedenken an.

Letztlich stimmten 28 Mandatsträger mit Ja, neun mit Nein und sieben enthielten sich.

Keine weiteren Bewerber

Unter dem Strich überwog die Hoffnung darauf, dass die Hochschulstadt im Taunus einen Booster bekommt – und dass das Land ev",Infrastruktur,0.5504867
tagesschau_fm-story-swr-ef5484bf-8eaa-3d30-851f-06a0ae00c46b,Erstattung zurückgeforderter Corona-Hilfen: Gesetzesentwurf vorgestellt,"Das Land BW will so schnell wie möglich unrechtmäßig zurückgeforderte Corona-Soforthilfen erstatten. Die Fraktionen von Grüne und CDU haben nun einen Gesetzesentwurf vorgestellt.

Von Knut Bauer

Nach dem Ende der Pandemie hatten Unternehmen in Baden-Württemberg ihre Corona-Soforthilfen zurückzahlen müssen. 62.000 von ihnen sollen nun das Geld wieder zurückerhalten. Das hatte ein Gericht im Oktober 2025 entschieden. Am Mittwoch haben die Fraktionen der Grünen und CDU nun einen Gesetzesentwurf im Landtag eingebracht, der regeln soll, wie das Geld zurück an die Unternehmen gelangt. Ende Februar soll das Gesetz in einer Sondersitzung des Landtags beschlossen werden.

Unternehmen in BW dürfen rund 437 Millionen Euro behalten

Der baden-württembergische Verwaltungsgerichtshof (VGH) hatte im Oktober 2025 die Rückforderungen von Corona-Soforthilfen der landeseigenen L-Bank wegen Unklarheiten in den Antragsformularen für rechtswidrig erklärt. Zuvor hatten fünf Unternehmen gegen die Rückzahlung geklagt. Von der nun beschlossenen Erstattung seien rund 62.000 Unternehmen betroffen. Ihnen seien von März bis Anfang April 2020 Corona-Soforthilfen in einer Gesamthöhe von 437 Millionen Euro gewähr",Politik,0.3873375
